Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
"Edinburgh, Dean Village, Damside, 1 Well Court, Woodbarn Hall With Clock Tower",http://commons.wikimedia.org/wiki/Special:FilePath/DSCN6826%20Woodbarn%20Hall%20With%20Clock%20Tower%201%20Well%20Court%20Dean%20Village.jpg,AlasdairW,2020-09-29 21:22:18,2020,29,architectural structure,-3.21746,55.9521,N/A,City of Edinburgh,Midlothian
Govan Graving Docks,http://commons.wikimedia.org/wiki/Special:FilePath/Glasgow%2C%20Govan%20Graving%20Docks%20%28IMGP8403%20v1%29.png,Iroberts696,2017-09-08 14:35:05,2017,8,dock,-4.30092,55.8608,N/A,Glasgow City,Lanarkshire
"Edinburgh, 23 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2023%20Warriston%20Crescent%20-%2020230929174552.jpg,AlasdairW,2023-09-29 20:48:57,2023,29,terrace house,-3.19958,55.9646,N/A,City of Edinburgh,Midlothian
Newbattle Abbey House,http://commons.wikimedia.org/wiki/Special:FilePath/Newbattle%20Abbey%20College%2C%20entrance%20area.jpg,Drkirstyross,2020-09-05 22:30:49,2020,5,architectural structure,-3.06702,55.8827,N/A,Midlothian,Midlothian
"Edinburgh, 49-51 Albany Street",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2049-51%20Albany%20Street%20-%2020220924151810.jpg,AlasdairW,2022-09-25 22:20:50,2022,25,terrace house,-3.18958,55.9573,N/A,City of Edinburgh,Midlothian
"Edinburgh, 4 Elm Row",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%204%20Elm%20Row.jpg,Wilmm,2017-09-24 16:15:04,2017,24,architectural structure,-3.18371,55.9582,N/A,City of Edinburgh,Midlothian
"Ardelve, 12 Lower Ardelve",http://commons.wikimedia.org/wiki/Special:FilePath/Old%20houses%20at%20Lower%20Ardelve%20%28geograph%203049656%29.jpg,File Upload Bot (Magnus Manske),2013-09-10 18:39:00,2013,10,architectural structure,-5.52861,57.28102,N/A,Highland,Ross-shire
"Edinburgh, 20, 21, 22 Elm Row, Post Office",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2020%2C%2021%2C%2022%20Elm%20Row%2C%20Post%20Office.jpg,Wilmm,2017-09-24 16:29:42,2017,24,architectural structure,-3.18312,55.9589,N/A,City of Edinburgh,Midlothian
"Alexandra Parade, Alexandra Park, Cast Iron Fountain",http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra%20Park%20cast%20iron%20fountain.jpg,Mmhkk,2017-09-30 21:04:17,2017,30,fountain,-4.20828,55.8645,N/A,Glasgow City,Lanarkshire
"Edinburgh, 7 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%207%20Warriston%20Crescent%20-%2020230929174238.jpg,AlasdairW,2023-09-29 20:24:38,2023,29,terrace house,-3.20002,55.9636,N/A,City of Edinburgh,Midlothian
Grecian Chambers,http://commons.wikimedia.org/wiki/Special:FilePath/336-356%20Sauchiehall%20Street%2C%20Grecian%20Chambers.jpg,Stinglehammer,2017-09-18 23:55:43,2017,18,building,-4.26506,55.8658,N/A,Glasgow City,Lanarkshire
"Edinburgh, 15, 16, 17 Elm Row",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2015%2C%2016%2C%2017%20Elm%20Row.jpg,Wilmm,2017-09-24 16:23:57,2017,24,architectural structure,-3.18331,55.9587,N/A,City of Edinburgh,Midlothian
"Edinburgh, 21 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2021%20George%20Square.jpg,Stinglehammer,2017-09-28 22:21:02,2017,28,architectural structure,-3.1906,55.9436,N/A,City of Edinburgh,Midlothian
"Pollokshaws Road, Pollok Park, Pollok House, Western Garden Pavilion",http://commons.wikimedia.org/wiki/Special:FilePath/Pollok%20House%2C%20Western%20Garden%20Pavilion%201.jpg,LornaMCampbell,2020-09-29 21:58:22,2020,29,pavilion,-4.31886,55.8279,N/A,Glasgow City,Renfrewshire
Springburn Winter Garden,http://commons.wikimedia.org/wiki/Special:FilePath/Winter%20Gardens%2C%20Springburn%20Park.jpg,Davidw82,2013-09-01 23:10:56,2013,1,winter garden,-4.22704,55.889,N/A,Glasgow City,Lanarkshire
"Edinburgh, 16 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2016%20Warriston%20Crescent%20-%2020230929174444.jpg,AlasdairW,2023-09-29 20:57:22,2023,29,terrace house,-3.19975,55.9641,N/A,City of Edinburgh,Midlothian
Tarbat House And Stables,http://commons.wikimedia.org/wiki/Special:FilePath/Remains%20of%20Tarbat%20House%20%28geograph%202089699%29.jpg,File Upload Bot (Magnus Manske),2013-09-02 00:08:43,2013,2,country house,-4.067254492,57.735340064,N/A,Highland,Cromartyshire
60 George Square,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2060%20George%20Square%20-%2020140421175303.jpg,Enric,2018-09-18 22:51:50,2018,18,university building,-3.18737,55.9444,N/A,City of Edinburgh,Midlothian
"Cromarty, Church Street, Hugh Miller's Cottage",http://commons.wikimedia.org/wiki/Special:FilePath/Hugh%20Miller%27s%20Cottage%2C%20Cromarty%2002.jpg,Braveheart,2016-09-20 18:50:48,2016,20,cottage,-4.03079,57.68,N/A,Highland,Cromartyshire
"Edinburgh, 139 - 140 Princes Street",http://commons.wikimedia.org/wiki/Special:FilePath/Tourist%20shops.jpg,EugenStoica,2019-09-20 20:39:17,2019,20,shop; tenement,-3.20688,55.9506,N/A,City of Edinburgh,Midlothian
"Edinburgh, 21 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2021%20Warriston%20Crescent%20-%2020230929174532.jpg,AlasdairW,2023-09-29 20:58:14,2023,29,terrace house,-3.19962,55.9645,N/A,City of Edinburgh,Midlothian
"Edinburgh, 22 Warriston Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/City%20of%20Edinburgh%20-%20Edinburgh%2C%2022%20Warriston%20Crescent%20-%2020230929174543.jpg,AlasdairW,2023-09-29 20:54:04,2023,29,terrace house,-3.19961,55.9645,N/A,City of Edinburgh,Midlothian
"Dumbreck, 6 Rowan Road, Craigie Hall",http://commons.wikimedia.org/wiki/Special:FilePath/Craigie%20Hall%2C%20Dumbreck%2C%20Glasgow%20%28geograph%202179733%29.jpg,Plucas58,2017-09-01 10:30:58,2017,1,villa,-4.30882,55.8469,N/A,Glasgow City,Lanarkshire
"Linlithgow, High Street, St Michael's Well",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20High%20Street%2C%20St%20Michael%27s%20Well%20-%2020170923152611.jpg,Ammienoot,2017-09-27 22:43:23,2017,27,water well,-3.59742,55.9767,N/A,West Lothian,West Lothian
"Edinburgh, 16 - 17 George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2016%20-%2017%20George%20Square.jpg,Stinglehammer,2017-09-28 22:06:18,2017,28,architectural structure,-3.19077,55.9439,N/A,City of Edinburgh,Midlothian
"Edinburgh, 48 Dick Place",http://commons.wikimedia.org/wiki/Special:FilePath/48%20Dick%20Place.jpg,Melissa Highton,2020-09-25 15:26:19,2020,25,villa,-3.19051,55.9328,N/A,City of Edinburgh,Midlothian
Dirleton Castle Tower,http://commons.wikimedia.org/wiki/Special:FilePath/East%20Lothian%20-%20Dirleton%20Castle%2C%20Tower%20-%2020181125144417.jpg,Yarnoverhook,2022-09-10 19:53:33,2022,10,tower house,-2.78084,56.0461,N/A,East Lothian,East Lothian
"Edinburgh, North Bridge, Scotsman Steps",http://commons.wikimedia.org/wiki/Special:FilePath/Scotsman%20Steps%2C%20Edinburgh%20-%20third%20flight%20down.jpg,ToyHorse,2017-09-14 18:31:52,2017,14,architectural structure,-3.18859,55.9512,N/A,City of Edinburgh,Midlothian
"North Queensferry, Pilot Boat Slipway",http://commons.wikimedia.org/wiki/Special:FilePath/Pilot%20Boat%20Slipway.jpg,Ammienoot,2017-09-24 17:50:53,2017,24,slipway,-3.39057,56.0066,N/A,Fife,Fife
"Amisfield Park, Walled Garden",http://commons.wikimedia.org/wiki/Special:FilePath/Amisfield%20Walled%20Garden%20-%20NE%20pavilion.jpg,ArchHist,2018-09-01 12:25:19,2018,1,walled garden,-2.74932,55.9585,N/A,East Lothian,East Lothian
"Edinburgh, 2 Gayfield Place",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%202%20Gayfield%20Place.jpg,Wilmm,2017-09-24 16:33:29,2017,24,tenement,-3.18427,55.959,N/A,City of Edinburgh,Midlothian
"534 Sauchiehall Street, Albany Chambers",http://commons.wikimedia.org/wiki/Special:FilePath/534%20Sauchiehall%20Street%2C%20Albany%20Chambers.jpg,Stinglehammer,2017-09-17 11:38:19,2017,17,building,-4.27015,55.8664,N/A,Glasgow City,Lanarkshire
